0,1,2,3,4,5,6,7,8,9,10,11,12
AGCJ-203-900,5,10,7 4,1,,27 2.518,0.0,0.0,0.0,0.0,0.0,27 DUNSFORD D
,18.52%,37.04%,25.93%  14.81%,3.70%,,,,,,,,
AGCJ-281-500,36,0,0 0,0,,36 4.000,0.0,0.0,0.0,1.0,0.0,37 STARR D
,100.00%,0.00%,0.00%0.00%,0.00%,,,,,,,,
AGCJ-303-901,2,7,13 1,6,,29 1.931,0.0,0.0,0.0,0.0,0.0,29 STARR D
,6.90%,24.14%,44.83%3.45%  20.69%,,,,,,,,,
AGCJ-304-500,2,17,5 0,2,,26 2.654,1.0,0.0,0.0,0.0,0.0,27 STARR D
,7.69%,65.38%,19.23%0.00%,7.69%,,,,,,,,
AGCJ-306-500,9,37,13 1,1,,61 2.852,0.0,0.0,0.0,0.0,0.0,61 DUNSFORD D
,14.75%,60.66%,21.31%1.64%,1.64%,,,,,,,,
AGCJ-308-500,13,7,0 0,1,,21 3.476,0.0,0.0,0.0,0.0,0.0,21 BRICK T
,61.90%,33.33%,0.00%0.00%,4.76%,,,,,,,,
AGCJ-405-501,5,7,1 0,2,,15 2.867,0.0,0.0,0.0,0.0,0.0,15 BRICK T
,33.33%,46.67%,6.67%0.00%  13.33%,,,,,,,,,
AGCJ-405-502,2,2,4 0,0,,8 2.750,0.0,0.0,0.0,2.0,0.0,10 BRICK T
,25.00%,25.00%,50.00%0.00%,0.00%,,,,,,,,
COURSE TOTAL:,7,9,5 0,2,,223 2.826,0.0,0.0,0.0,2.0,0.0,25
,30.43%,39.13%,21.74%0.00%,8.70%,,,,,,,,
AGCJ-407-500,1,8,7 0,1,,17 2.471,0.0,0.0,0.0,0.0,0.0,17 NAILE T
,5.88%,47.06%,41.18%0.00%,5.88%,,,,,,,,
AGCJ-407-501,3,4,7 1,1,,16 2.438,0.0,0.0,0.0,0.0,0.0,16 NAILE T
,18.75%,25.00%,43.75%6.25%,6.25%,,,,,,,,
COURSE TOTAL:,4,12,14 1,2,,33 2.455,0.0,0.0,0.0,0.0,0.0,33
,12.12%,36.36%,42.42%3.03%,6.06%,,,,,,,,
AGCJ-485-518,2,0,0,0,0,2 4.000,0.0,0.0,0.0,0.0,0.0,2 WIED L
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
AGCJ-485-556,0,0,0,0,0,0 0.000,1.0,1.0,0.0,0.0,0.0,2 DUNSFORD D
,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,5,0,0,0,0,5 4.000,1.0,1.0,0.0,0.0,0.0,7
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
AGCJ-489-501,15,0,0,0,0,15 4.000,0.0,0.0,0.0,0.0,0.0,15 ZENT R
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
AGCJ-491-535,0,0,0,0,0,0 0.000,0.0,1.0,0.0,0.0,0.0,1 NAILE T
,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
AGCJ-494-515,1,0,0,0,0,1 4.000,0.0,0.0,0.0,0.0,0.0,1 BRICK T
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
AGCJ-494-516,6,0,0,0,0,6 4.000,1.0,0.0,0.0,0.0,0.0,7 DUNSFORD D
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
AGCJ-494-556,2,0,0,0,0,2 4.000,0.0,0.0,0.0,0.0,0.0,2 DUNSFORD D
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,9,0,0,0,0,24 4.000,1.0,0.0,0.0,0.0,0.0,10
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
AGSC-301-500,25,3,1,0,0,29 3.828,0.0,0.0,0.0,0.0,0.0,29 LARKE A
,86.21%,10.34%,3.45%,0.00%,0.00%,,,,,,,
AGSC-383-501,11,9,0,0,0,20 3.550,0.0,0.0,0.0,0.0,0.0,20 MURPHY T
,55.00%,45.00%,0.00%,0.00%,0.00%,,,,,,,
AGSC-384-900,19,5,0,0,0,24 3.792,1.0,0.0,0.0,0.0,0.0,25 BRIERS G
,79.17%,20.83%,0.00%,0.00%,0.00%,,,,,,,
ALED-201-500,41,20,2,4,0,67 3.463,0.0,0.0,0.0,0.0,0.0,67 MOORE L
,61.19%,29.85%,2.99%,5.97%,0.00%,,,,,,,
ALED-225-500,69,8,1,0,0,78 3.872,0.0,0.0,0.0,0.0,0.0,78 MOORE L
,88.46%,10.26%,1.28%,0.00%,0.00%,,,,,,,
ALED-285-520,1,0,0,0,0,1 4.000,0.0,0.0,0.0,1.0,0.0,2 FELTON S
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
ALED-285-526,5,0,0,0,0,5 4.000,0.0,0.0,0.0,0.0,0.0,5 MOORE L
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,6,0,0,0,0,228 4.000,0.0,0.0,0.0,1.0,0.0,7
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
ALED-289-501,3,4,0,0,0,7 3.429,0.0,0.0,0.0,0.0,0.0,7 WINGENBACH G
,42.86%,57.14%,0.00%,0.00%,0.00%,,,,,,,
ALED-289-502,12,2,2,1,0,17 3.471,0.0,0.0,0.0,0.0,0.0,17 ELBERT C
,70.59%,11.76%,11.76%,5.88%,0.00%,,,,,,,
COURSE TOTAL:,15,6,2,1,0,24 3.458,0.0,0.0,0.0,0.0,0.0,24
,62.50%,25.00%,8.33%,4.17%,0.00%,,,,,,,
ALED-301-501,60,9,5,0,1,75 3.693,0.0,0.0,0.0,2.0,3.0,80 WILLIAMS J
,80.00%,12.00%,6.67%,0.00%,1.33%,,,,,,,
ALED-301-502,46,23,10,2,0,81 3.395,0.0,0.0,0.0,0.0,0.0,81 BOYD B
,56.79%,28.40%,12.35%,2.47%,0.00%,,,,,,,
COURSE TOTAL:,106,32,15,2,1,156 3.538,0.0,0.0,0.0,2.0,3.0,161
,67.95%,20.51%,9.62%,1.28%,0.64%,,,,,,,
ALED-340-901,14,5,1,0,1,21 3.476,2.0,0.0,0.0,1.0,0.0,24 ROSSER M
,66.67%,23.81%,4.76%,0.00%,4.76%,,,,,,,
BESC-201-500,58,9,1,00,,68 3.838,0.0,0.0,0.0,0.0,0.0,68 SHAN L
,85.29%,13.24%,1.47%,0.00%0.00%,,,,,,,,
BESC-204-500,22,32,15,10,,70 3.071,0.0,0.0,0.0,0.0,0.0,70 SHAW B
,31.43%,45.71%,21.43%,1.43%0.00%,,,,,,,,
BESC-320-900,15,11,4,02,,32 3.156,0.0,0.0,0.0,2.0,0.0,34 DEFIGUEIREDO P
,46.88%,34.38%,12.50%,0.00%6.25%,,,,,,,,
BESC-402-500,10,35,9,00,,54 3.018,0.0,0.0,0.0,0.0,0.0,54 KENERLEY C
,18.52%,64.81%,16.67%,0.00%0.00%,,,,,,,,
BESC-403-500,4,17,2,00,,23 3.087,0.0,0.0,0.0,0.0,0.0,23 SHIM W
,17.39%,73.91%,8.70%,0.00%0.00%,,,,,,,,
BESC-484-500,1,0,0,00,,1 4.000,0.0,0.0,0.0,0.0,0.0,1 YUAN S
,100.00%,0.00%,0.00%,0.00%0.00%,,,,,,,,
BESC-484-505,1,0,0,00,,1 4.000,0.0,0.0,0.0,0.0,0.0,1 GONZALEZ C
,100.00%,0.00%,0.00%,0.00%0.00%,,,,,,,,
BESC-484-508,1,0,0,00,,1 4.000,0.0,0.0,0.0,0.0,0.0,1 KOLOMIETS M
,100.00%,0.00%,0.00%,0.00%0.00%,,,,,,,,
BESC-484-517,1,0,0,00,,1 4.000,0.0,0.0,0.0,0.0,0.0,1 JO Y
,100.00%,0.00%,0.00%,0.00%0.00%,,,,,,,,
BESC-484-900,3,0,0,00,,3 4.000,0.0,0.0,0.0,0.0,0.0,3 APPEL D
,100.00%,0.00%,0.00%,0.00%0.00%,,,,,,,,
BESC-484-912,1,1,0,00,,2 3.500,0.0,0.0,0.0,0.0,0.0,2 SCHOLTHOF K
,50.00%,50.00%,0.00%,0.00%0.00%,,,,,,,,
BESC-484-915,1,0,0,01,,2 2.000,0.0,0.0,0.0,0.0,0.0,2 STARR J
,50.00%,0.00%,0.00%,0.00%  50.00%,,,,,,,,
BESC-485-200,5,0,0 0,,0,5 4.000,0.0,0.0,0.0,0.0,0.0,5 DEFIGUEIREDO P
,100.00%,0.00%,0.00%0.00%,,0.00%,,,,,,,
BESC-485-500,0,1,0 0,,0,1 3.000,0.0,0.0,0.0,0.0,0.0,1 DICKMAN M
,0.00%,100.00%,0.00%0.00%,,0.00%,,,,,,,
COURSE TOTAL:,5,1,0 0,,0,6 3.833,0.0,0.0,0.0,0.0,0.0,6
,83.33%,16.67%,0.00%0.00%,,0.00%,,,,,,,
BESC-489-200,7,0,0 0,,0,7 4.000,0.0,0.0,0.0,0.0,0.0,7 SCHOLTHOF K
,100.00%,0.00%,0.00%0.00%,,0.00%,,,,,,,
BESC-489-500,43,4,0 0,,1,48 3.833,0.0,0.0,0.0,0.0,0.0,48 YUAN S
,89.58%,8.33%,0.00%0.00%,,2.08%,,,,,,,
BESC-489-501,2,1,0 0,,0,3 3.667,0.0,0.0,0.0,0.0,0.0,3 SCHOLTHOF K
,66.67%,33.33%,0.00%0.00%,,0.00%,,,,,,,
COURSE TOTAL:,52,5,0 0,,1,58 3.845,0.0,0.0,0.0,0.0,0.0,58
,89.66%,8.62%,0.00%0.00%,,1.72%,,,,,,,
PLPA-301-500,26,26,23 15,,1,91 2.670,0.0,0.0,0.0,0.0,0.0,91 STARR J
,28.57%,28.57%,25.27%  16.48%,,1.10%,,,,,,,
PLPA-303-501,14,5,1 0,,2,22 3.318,0.0,0.0,0.0,0.0,0.0,22 JO Y
,63.64%,22.73%,4.55%0.00%,,9.09%,,,,,,,
PLPA-303-502,16,5,0 1,,0,22 3.636,0.0,0.0,0.0,0.0,0.0,22 SHAN L
,72.73%,22.73%,0.00%4.55%,,0.00%,,,,,,,
PLPA-303-503,16,3,0 0,,1,20 3.650,0.0,0.0,0.0,1.0,0.0,21 GONZALEZ C
,80.00%,15.00%,0.00%0.00%,,5.00%,,,,,,,
PLPA-303-504,18,1,0 1,,0,20 3.800,0.0,0.0,0.0,1.0,0.0,21 SHAN L
,90.00%,5.00%,0.00%5.00%,,0.00%,,,,,,,
PLPA-491-500,1,0,0,0,0,1 4.000,0.0,0.0,0.0,0.0,0.0,1 APPEL D
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
PLPA-601-600,1,0,0,0,0,1 4.000,0.0,0.0,0.0,0.0,0.0,1 STARR J
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
PLPA-610-600,2,1,0,0,0,3 3.667,0.0,0.0,0.0,0.0,0.0,3 STARR J
,66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,
PLPA-611-600,4,3,0,0,0,7 3.571,0.0,0.0,0.0,0.0,0.0,7 EBBOLE D
,57.14%,42.86%,0.00%,0.00%,0.00%,,,,,,,
