0,1,2,3,4,5,6,7,8,9,10,11,12
ARCH-206-202,12,0,0,0,0,12 4.000,0.0,0.0,0.0,0.0,0.0,12 MAFFEI G
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
ARCH-206-500,5,8,0,0,0,13 3.385,1.0,0.0,0.0,0.0,0.0,14 ODOM J
,38.46%,61.54%,0.00%,0.00%,0.00%,,,,,,,
ARCH-206-501,4,9,3,0,0,16 3.062,0.0,0.0,0.0,0.0,0.0,16 ODOM J
,25.00%,56.25%,18.75%,0.00%,0.00%,,,,,,,
ARCH-206-502,12,3,1,0,0,16 3.688,0.0,0.0,0.0,0.0,0.0,16 RODIEK S
,75.00%,18.75%,6.25%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,33,20,4,0,0,57 3.509,1.0,0.0,0.0,0.0,0.0,58
,57.89%,35.09%,7.02%,0.00%,0.00%,,,,,,,
ARCH-207-502,8,6,0,0,0,14 3.571,0.0,0.0,0.0,0.0,0.0,14 ESQUIVEL J
,57.14%,42.86%,0.00%,0.00%,0.00%,,,,,,,
ARCH-207-503,10,1,0,0,0,11 3.909,0.0,0.0,0.0,0.0,0.0,11 CLAYTON M
,90.91%,9.09%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,18,7,0,0,0,25 3.720,0.0,0.0,0.0,0.0,0.0,25
,72.00%,28.00%,0.00%,0.00%,0.00%,,,,,,,
ARCH-212-200,17,0,0,0,0,17 4.000,0.0,0.0,0.0,0.0,0.0,17 ZHU X
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
ARCH-212-500,8,19,11,0,2,40 2.775,0.0,0.0,0.0,0.0,0.0,40 ULRICH R
,20.00%,47.50%,27.50%,0.00%,5.00%,,,,,,,
COURSE TOTAL:,25,19,11,0,2,57 3.140,0.0,0.0,0.0,0.0,0.0,57
,43.86%,33.33%,19.30%,0.00%,3.51%,,,,,,,
ARCH-249-500,54,104,56,12,9,235 2.774,3.0,0.0,0.0,3.0,0.0,241 GLOWACKI K
,22.98%,44.26%,23.83%,5.11%,3.83%,,,,,,,
COURSE TOTAL:,54,104,56 12,,9,235 2.774,3.0,0.0,0.0,3.0,0.0,241
,22.98%,44.26%,23.83%5.11%,,3.83%,,,,,,,
ARCH-250-500,80,103,43 8,,1,235 3.077,0.0,0.0,0.0,1.0,0.0,236 KLEIN N
,34.04%,43.83%,18.30%3.40%,,0.43%,,,,,,,
COURSE TOTAL:,80,103,43 8,,1,235 3.077,0.0,0.0,0.0,1.0,0.0,236
,34.04%,43.83%,18.30%3.40%,,0.43%,,,,,,,
ARCH-305-501,7,5,2 1,,0,15 3.200,0.0,0.0,0.0,0.0,0.0,15 ESQUIVEL J
,46.67%,33.33%,13.33%6.67%,,0.00%,,,,,,,
ARCH-305-503,7,6,2 0,,0,15 3.333,0.0,0.0,0.0,0.0,0.0,15 ERMINY M
,46.67%,40.00%,13.33%0.00%,,0.00%,,,,,,,
COURSE TOTAL:,14,11,4 1,,0,30 3.267,0.0,0.0,0.0,0.0,0.0,30
,46.67%,36.67%,13.33%3.33%,,0.00%,,,,,,,
ARCH-312-900,9,11,5 3,,0,28 2.929,1.0,0.0,0.0,1.0,0.0,30 HE W
,32.14%,39.29%,17.86%  10.71%,,0.00%,,,,,,,
ARCH-312-901,7,2,0 0,,0,9 3.778,1.0,0.0,0.0,0.0,0.0,10 DOWNING F
,77.78%,22.22%,0.00%0.00%,,0.00%,,,,,,,
COURSE TOTAL:,16,13,5 3,,0,37 3.135,2.0,0.0,0.0,1.0,0.0,40
,43.24%,35.14%,13.51%8.11%,,0.00%,,,,,,,
ARCH-327-500,9,3,0 0,,0,12 3.750,0.0,0.0,0.0,0.0,0.0,12 HOLLIDAY S
,75.00%,25.00%,0.00%0.00%,,0.00%,,,,,,,
COURSE TOTAL:,9,3,0 0,,0,12 3.750,0.0,0.0,0.0,0.0,0.0,12
,75.00%,25.00%,0.00%0.00%,,0.00%,,,,,,,
ARCH-331-500,10,10,7 2,,2,31 2.774,0.0,0.0,0.0,3.0,0.0,34 NICHOLS A
CARC-301-551,14,13,3,0,0,30 3.367,0.0,0.0,0.0,0.0,0.0,30 WAGNER E
,46.67%,43.33%,10.00%,0.00%,0.00%,,,,,,,
CARC-301-553,14,2,0,0,0,16 3.875,0.0,0.0,0.0,0.0,0.0,16 PASING A
,87.50%,12.50%,0.00%,0.00%,0.00%,,,,,,,
CARC-301-560,11,4,0,0,0,15 3.733,0.0,0.0,0.0,0.0,0.0,15 ROLDAN M
,73.33%,26.67%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,39,19,3,0,0,61 3.590,0.0,0.0,0.0,0.0,0.0,61
,63.93%,31.15%,4.92%,0.00%,0.00%,,,,,,,
CARC-311-551,41,0,0,0,0,41 4.000,0.0,0.0,0.0,0.0,0.0,41 BARUCCHIERI P
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
CARC-311-553,14,2,0,0,0,16 3.875,0.0,0.0,0.0,0.0,0.0,16 REITZ J
,87.50%,12.50%,0.00%,0.00%,0.00%,,,,,,,
CARC-311-560,16,0,0,0,0,16 4.000,0.0,0.0,0.0,0.0,0.0,16 STRUM S
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,71,2,0,0,0,73 3.973,0.0,0.0,0.0,0.0,0.0,73
,97.26%,2.74%,0.00%,0.00%,0.00%,,,,,,,
CARC-331-551,28,4,0,0,0,32 3.875,0.0,0.0,0.0,0.0,0.0,32 BARUCCHIERI P
,87.50%,12.50%,0.00%,0.00%,0.00%,,,,,,,
CARC-331-553,13,3,0,0,0,16 3.812,0.0,0.0,0.0,0.0,0.0,16 MCLAUGHLIN T
,81.25%,18.75%,0.00%,0.00%,0.00%,,,,,,,
CARC-331-560,16,0,0,0,0,16 4.000,0.0,0.0,0.0,0.0,0.0,16 COSTA X
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,57,7,0,0,0,64 3.891,0.0,0.0,0.0,0.0,0.0,64
,89.06%,10.94%,0.00%,0.00%,0.00%,,,,,,,
CARC-481-503,31,0,0,0,0,31 4.000,0.0,0.0,0.0,0.0,0.0,31 WOODFIN T
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,128,0,0,0,0,128 4.000,0.0,0.0,0.0,0.0,0.0,128
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
CARC-601-600,8,0,0,0,0,8 4.000,0.0,0.0,0.0,0.0,0.0,8 MIRANDA V
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,8,0,0,0,0,8 4.000,0.0,0.0,0.0,0.0,0.0,8
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
CARC-602-602,25,0,0,0,0,25 4.000,0.0,0.0,0.0,0.0,0.0,25 VARNI J
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,25,0,0,0,0,25 4.000,0.0,0.0,0.0,0.0,0.0,25
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
CARC-698-600,8,0,0,0,0,8 4.000,0.0,0.0,0.0,0.0,0.0,8 TEBEAUX E
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,8,0,0,0,0,8 4.000,0.0,0.0,0.0,0.0,0.0,8
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COSC-153-500,15,28,9,2,2,56 2.929,0.0,0.0,0.0,1.0,0.0,57 DURDEN J
,26.79%,50.00%,16.07%,3.57%,3.57%,,,,,,,
COSC-153-501,27,0,0,0,0,27 4.000,0.0,0.0,0.0,0.0,0.0,27 NICHOLS J
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COSC-153-502,10,10,2,0,1,23 3.217,0.0,0.0,0.0,1.0,0.0,24 LAVY S
,43.48%,43.48%,8.70%,0.00%,4.35%,,,,,,,
COURSE TOTAL:,52,38,11,2,3,106 3.264,0.0,0.0,0.0,2.0,0.0,108
,49.06%,35.85%,10.38%,1.89%,2.83%,,,,,,,
COSC-253-500,41,106,31,8,3,189 2.921,0.0,0.0,0.0,0.0,0.0,189 CARLSON K
,21.69%,56.08%,16.40%,4.23%,1.59%,,,,,,,
COURSE TOTAL:,41,106,31,8,3,189 2.921,0.0,0.0,0.0,0.0,0.0,189
,21.69%,56.08%,16.40%,4.23%,1.59%,,,,,,,
COSC-254-500,22,43,25,3,0,93 2.903,0.0,0.0,0.0,2.0,0.0,95 SMITH J
,23.66%,46.24%,26.88%,3.23%,0.00%,,,,,,,
COURSE TOTAL:,22,43,25,3,0,93 2.903,0.0,0.0,0.0,2.0,0.0,95
,23.66%,46.24%,26.88%,3.23%,0.00%,,,,,,,
COSC-275-501,2,13,17,0,0,32 2.531,0.0,0.0,0.0,3.0,0.0,35 WORKMAN R
,6.25%,40.63%,53.13%,0.00%,0.00%,,,,,,,
COSC-275-503,2,17,10,0,0,29 2.724,0.0,0.0,0.0,1.0,0.0,30 WORKMAN R
,6.90%,58.62%,34.48%,0.00%,0.00%,,,,,,,
COSC-275-504,0,10,9,0,0,19 2.526,0.0,0.0,0.0,1.0,0.0,20 WORKMAN R
,0.00%,52.63%,47.37%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,4,40,36,0,0,80 2.600,0.0,0.0,0.0,5.0,0.0,85
COSC-301-501,23,47,8 0,0,,78 3.192,0.0,0.0,0.0,3.0,0.0,81 WILLIAMSON K
,29.49%,60.26%,10.26%0.00%,0.00%,,,,,,,,
COURSE TOTAL:,23,47,8 0,0,,78 3.192,0.0,0.0,0.0,3.0,0.0,81
,29.49%,60.26%,10.26%0.00%,0.00%,,,,,,,,
COSC-321-501,2,6,1 1,2,,12 2.417,0.0,0.0,0.0,1.0,0.0,13 COODY M
,16.67%,50.00%,8.33%8.33%  16.67%,,,,,,,,,
COSC-321-502,4,14,6 6,2,,32 2.375,0.0,0.0,0.0,2.0,0.0,34 COODY M
,12.50%,43.75%,18.75%  18.75%,6.25%,,,,,,,,
COSC-321-503,0,7,6 1,1,,15 2.267,0.0,0.0,0.0,5.0,0.0,20 COODY M
,0.00%,46.67%,40.00%6.67%,6.67%,,,,,,,,
COURSE TOTAL:,6,27,13 8,5,,59 2.356,0.0,0.0,0.0,8.0,0.0,67
,10.17%,45.76%,22.03%  13.56%,8.47%,,,,,,,,
COSC-323-501,8,7,0 0,0,,15 3.533,0.0,0.0,0.0,0.0,0.0,15 PINCUS J
,53.33%,46.67%,0.00%0.00%,0.00%,,,,,,,,
COSC-323-502,8,8,0 0,0,,16 3.500,0.0,0.0,0.0,0.0,0.0,16 PINCUS J
,50.00%,50.00%,0.00%0.00%,0.00%,,,,,,,,
COSC-323-503,7,9,0 0,1,,17 3.235,0.0,0.0,0.0,0.0,0.0,17 PINCUS J
,41.18%,52.94%,0.00%0.00%,5.88%,,,,,,,,
COSC-323-504,11,5,0 0,0,,16 3.688,0.0,0.0,0.0,0.0,0.0,16 NICHOLS J
,68.75%,31.25%,0.00%0.00%,0.00%,,,,,,,,
COSC-323-505,10,5,0 0,0,,15 3.667,0.0,0.0,0.0,0.0,0.0,15 HOLLAND N
,66.67%,33.33%,0.00%0.00%,0.00%,,,,,,,,
COSC-323-506,8,5,0 0,0,,13 3.615,0.0,0.0,0.0,0.0,0.0,13 HOLLAND N
,61.54%,38.46%,0.00%0.00%,0.00%,,,,,,,,
COSC-325-501,12,32,5,01,,50 3.080,0.0,0.0,0.0,1.0,0.0,51 WOODS P
,24.00%,64.00%,10.00%,0.00%2.00%,,,,,,,,
COURSE TOTAL:,12,32,5,0 1,,50 3.080,0.0,0.0,0.0,1.0,0.0,51
,24.00%,64.00%,10.00%,0.00%   2.00%,,,,,,,,
COSC-326-501,11,16,14,10,,42 2.881,0.0,0.0,0.0,0.0,0.0,42 CHOUDHURY I
,26.19%,38.10%,33.33%,2.38%0.00%,,,,,,,,
COURSE TOTAL:,11,16,14,1 0,,42 2.881,0.0,0.0,0.0,0.0,0.0,42
,26.19%,38.10%,33.33%,2.38%   0.00%,,,,,,,,
COSC-351-500,25,75,20,02,,122 2.992,0.0,0.0,0.0,0.0,0.0,122 WILLIAMSON K
,20.49%,61.48%,16.39%,0.00%1.64%,,,,,,,,
COURSE TOTAL:,25,75,20,0 2,,122 2.992,0.0,0.0,0.0,0.0,0.0,122
,20.49%,61.48%,16.39%,0.00%   1.64%,,,,,,,,
COSC-353-501,11,14,6,01,,32 3.062,0.0,0.0,0.0,0.0,0.0,32 PETERSON J
,34.38%,43.75%,18.75%,0.00%3.13%,,,,,,,,
COSC-353-502,3,10,2,10,,16 2.938,0.0,0.0,0.0,0.0,0.0,16 BILBO D
,18.75%,62.50%,12.50%,6.25%0.00%,,,,,,,,
COSC-353-503,1,8,0,01,,10 2.800,0.0,0.0,0.0,0.0,0.0,10 BILBO D
,10.00%,80.00%,0.00%,0.00%  10.00%,,,,,,,,
COURSE TOTAL:,15,32,8,1 2,,58 2.983,0.0,0.0,0.0,0.0,0.0,58
,25.86%,55.17%,13.79%,1.72%   3.45%,,,,,,,,
COSC-364-501,28,8,1,00,,37 3.730,0.0,0.0,0.0,0.0,0.0,37 MCGOWAN A
,75.68%,21.62%,2.70%,0.00%0.00%,,,,,,,,
COSC-364-504,16,5,0,00,,21 3.762,0.0,0.0,0.0,1.0,0.0,22 MCGOWAN A
COURSE TOTAL:,44,13,1 0,0,,58 3.741,0.0,0.0,0.0,1.0,0.0,59
,75.86%,22.41%,1.72%0.00%,0.00%,,,,,,,,
COSC-375-501,9,16,5 0,1,,31 3.032,0.0,0.0,0.0,0.0,0.0,31 MORGAN S
,29.03%,51.61%,16.13%0.00%,3.23%,,,,,,,,
COSC-375-502,3,9,2 0,1,,15 2.867,0.0,0.0,0.0,0.0,0.0,15 MORGAN S
,20.00%,60.00%,13.33%0.00%,6.67%,,,,,,,,
COSC-375-503,4,4,0 0,1,,9 3.111,0.0,0.0,0.0,0.0,0.0,9 MORGAN S
,44.44%,44.44%,0.00%0.00%  11.11%,,,,,,,,,
COURSE TOTAL:,16,29,7 0,3,,55 3.000,0.0,0.0,0.0,0.0,0.0,55
,29.09%,52.73%,12.73%0.00%,5.45%,,,,,,,,
COSC-381-500,43,14,2 0,1,,60 3.633,0.0,0.0,0.0,0.0,0.0,60 EUSTACE G
,71.67%,23.33%,3.33%0.00%,1.67%,,,,,,,,
COURSE TOTAL:,43,14,2 0,1,,60 3.633,0.0,0.0,0.0,0.0,0.0,60
,71.67%,23.33%,3.33%0.00%,1.67%,,,,,,,,
COSC-421-501,5,6,11 4,0,,26 2.462,0.0,0.0,0.0,0.0,0.0,26 HAQUE M
,19.23%,23.08%,42.31%  15.38%,0.00%,,,,,,,,
COSC-421-502,9,12,20 1,2,,44 2.568,0.0,0.0,0.0,2.0,0.0,46 HAQUE M
,20.45%,27.27%,45.45%2.27%,4.55%,,,,,,,,
COURSE TOTAL:,14,18,31 5,2,,70 2.529,0.0,0.0,0.0,2.0,0.0,72
,20.00%,25.71%,44.29%7.14%,2.86%,,,,,,,,
COSC-422-500,19,0,0 0,0,,19 4.000,0.0,0.0,0.0,1.0,0.0,20 NICHOLS J
,100.00%,0.00%,0.00%0.00%,0.00%,,,,,,,,
COURSE TOTAL:,19,0,0 0,0,,19 4.000,0.0,0.0,0.0,1.0,0.0,20
COSC-440-900,12,7,1,0,0,20 3.550,0.0,0.0,0.0,0.0,0.0,20 CARLSON K
,60.00%,35.00%,5.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,12,7,1,0,0,20 3.550,0.0,0.0,0.0,0.0,0.0,20
,60.00%,35.00%,5.00%,0.00%,0.00%,,,,,,,
COSC-441-900,20,5,0,0,0,25 3.800,0.0,0.0,0.0,0.0,0.0,25 PETERSON J
,80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,20,5,0,0,0,25 3.800,0.0,0.0,0.0,0.0,0.0,25
,80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,
COSC-442-901,3,7,7,0,0,17 2.765,0.0,0.0,0.0,0.0,0.0,17 SMITH J
,17.65%,41.18%,41.18%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,3,7,7,0,0,17 2.765,0.0,0.0,0.0,0.0,0.0,17
,17.65%,41.18%,41.18%,0.00%,0.00%,,,,,,,
COSC-443-900,7,12,0,0,1,20 3.200,0.0,0.0,0.0,0.0,0.0,20 KANG H
,35.00%,60.00%,0.00%,0.00%,5.00%,,,,,,,
COURSE TOTAL:,7,12,0,0,1,20 3.200,0.0,0.0,0.0,0.0,0.0,20
,35.00%,60.00%,0.00%,0.00%,5.00%,,,,,,,
COSC-463-901,3,14,2,0,0,19 3.053,0.0,0.0,0.0,0.0,0.0,19 ELLIS D
,15.79%,73.68%,10.53%,0.00%,0.00%,,,,,,,
COSC-463-902,7,14,2,0,0,23 3.217,0.0,0.0,0.0,1.0,0.0,24 ELLIS D
,30.43%,60.87%,8.70%,0.00%,0.00%,,,,,,,
COSC-463-903,4,14,2,0,0,20 3.100,0.0,0.0,0.0,1.0,0.0,21 ELLIS D
,20.00%,70.00%,10.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,14,42,6,0,0,62 3.129,0.0,0.0,0.0,2.0,0.0,64
COSC-464-502,9,2,0,0,0,11 3.818,0.0,0.0,0.0,0.0,1.0,12 MCGOWAN A
,81.82%,18.18%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,9,2,0,0,0,11 3.818,0.0,0.0,0.0,0.0,1.0,12
,81.82%,18.18%,0.00%,0.00%,0.00%,,,,,,,
COSC-465-501,26,43,4,0,1,74 3.257,0.0,0.0,0.0,0.0,0.0,74 DAIGNEAULT M
,35.14%,58.11%,5.41%,0.00%,1.35%,,,,,,,
COURSE TOTAL:,26,43,4,0,1,74 3.257,0.0,0.0,0.0,0.0,0.0,74
,35.14%,58.11%,5.41%,0.00%,1.35%,,,,,,,
COSC-475-501,1,6,1,0,0,8 3.000,0.0,0.0,0.0,0.0,0.0,8 RYBKOWSKI Z
,12.50%,75.00%,12.50%,0.00%,0.00%,,,,,,,
COSC-475-502,11,16,3,1,0,31 3.194,0.0,0.0,0.0,0.0,0.0,31 RYBKOWSKI Z
,35.48%,51.61%,9.68%,3.23%,0.00%,,,,,,,
COSC-475-503,1,7,2,0,0,10 2.900,0.0,0.0,0.0,1.0,0.0,11 RYOO B
,10.00%,70.00%,20.00%,0.00%,0.00%,,,,,,,
COSC-475-504,16,17,0,0,0,33 3.485,0.0,0.0,0.0,0.0,0.0,33 RYOO B
,48.48%,51.52%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,29,46,6,1,0,82 3.256,0.0,0.0,0.0,1.0,0.0,83
,35.37%,56.10%,7.32%,1.22%,0.00%,,,,,,,
