0,1,2,3,4,5,6,7,8,9,10,11,12
AERS-102-501,15,9,1,01,,26 3.423,0.0,0.0,0.0,0.0,0.0,26 OSBORNE C
,57.69%,34.62%,3.85%,0.00%3.85%,,,,,,,,
AERS-102-502,19,7,0,00,,26 3.731,0.0,0.0,0.0,0.0,0.0,26 OSBORNE C
,73.08%,26.92%,0.00%,0.00%0.00%,,,,,,,,
AERS-102-503,22,5,0,00,,27 3.815,0.0,0.0,0.0,0.0,0.0,27 OSBORNE C
,81.48%,18.52%,0.00%,0.00%0.00%,,,,,,,,
AERS-102-504,19,11,1,01,,32 3.469,0.0,0.0,0.0,0.0,0.0,32 CADE W
,59.38%,34.38%,3.13%,0.00%3.13%,,,,,,,,
AERS-102-505,17,4,1,00,,22 3.727,0.0,0.0,0.0,0.0,0.0,22 CADE W
,77.27%,18.18%,4.55%,0.00%0.00%,,,,,,,,
AERS-102-508,25,7,0,01,,33 3.667,0.0,0.0,0.0,0.0,0.0,33 CADE W
,75.76%,21.21%,0.00%,0.00%3.03%,,,,,,,,
COURSE TOTAL:,117,43,3,0 3,,166 3.633,0.0,0.0,0.0,0.0,0.0,166
,70.48%,25.90%,1.81%,0.00%   1.81%,,,,,,,,
AERS-106-501,92,8,0,05,,105 3.733,0.0,0.0,0.0,3.0,0.0,108 GONZALES E
,87.62%,7.62%,0.00%,0.00%4.76%,,,,,,,,
AERS-106-502,37,3,0,05,,45 3.489,0.0,0.0,0.0,0.0,0.0,45 GONZALES E
,82.22%,6.67%,0.00%,0.00%  11.11%,,,,,,,,
AERS-106-503,91,9,1,06,,107 3.673,0.0,0.0,0.0,0.0,0.0,107 GONZALES E
,85.05%,8.41%,0.93%,0.00%5.61%,,,,,,,,
AERS-106-507,22,6,1,03,,32 3.375,0.0,0.0,0.0,0.0,0.0,32 GONZALES E
,68.75%,18.75%,3.13%,0.00%9.38%,,,,,,,,
COURSE TOTAL:,242,26,2,0 19,,289 3.633,0.0,0.0,0.0,3.0,0.0,292
,83.74%,9.00%,0.69%,0.00%   6.57%,,,,,,,,
AERS-202-502,17,6,3,1,0,27 3.444,0.0,0.0,0.0,0.0,1.0,28 HUMPHREYS S
,62.96%,22.22%,11.11%,3.70%,0.00%,,,,,,,
AERS-202-503,16,9,1,0,1,27 3.444,0.0,0.0,0.0,0.0,0.0,27 HUMPHREYS S
,59.26%,33.33%,3.70%,0.00%,3.70%,,,,,,,
AERS-202-504,16,7,3,2,0,28 3.321,0.0,0.0,0.0,0.0,0.0,28 IVEY C
,57.14%,25.00%,10.71%,7.14%,0.00%,,,,,,,
AERS-202-506,22,4,0,0,0,26 3.846,0.0,0.0,0.0,0.0,0.0,26 IVEY C
,84.62%,15.38%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,89,31,8,3,2,133 3.519,0.0,0.0,0.0,0.0,2.0,135
,66.92%,23.31%,6.02%,2.26%,1.50%,,,,,,,
AERS-304-501,7,2,1,0,0,10 3.600,0.0,0.0,0.0,0.0,0.0,10 GONZALES E
,70.00%,20.00%,10.00%,0.00%,0.00%,,,,,,,
AERS-304-502,8,2,0,0,0,10 3.800,0.0,0.0,0.0,0.0,0.0,10 GONZALES E
,80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,
AERS-304-503,7,5,0,0,0,12 3.583,0.0,0.0,0.0,0.0,0.0,12 GONZALES E
,58.33%,41.67%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,22,9,1,0,0,32 3.656,0.0,0.0,0.0,0.0,0.0,32
,68.75%,28.13%,3.13%,0.00%,0.00%,,,,,,,
AERS-404-501,4,10,2,0,0,16 3.125,0.0,0.0,0.0,0.0,0.0,16 MACK D
,25.00%,62.50%,12.50%,0.00%,0.00%,,,,,,,
AERS-404-502,4,9,1,0,0,14 3.214,0.0,0.0,0.0,0.0,0.0,14 MACK D
,28.57%,64.29%,7.14%,0.00%,0.00%,,,,,,,
AERS-404-503,14,4,0,0,0,18 3.778,0.0,0.0,0.0,0.0,0.0,18 MACK D
,77.78%,22.22%,0.00%,0.00%,0.00%,,,,,,,
NVSC-205-501,14,10,1,1,0,26 3.423,0.0,0.0,0.0,0.0,0.0,26 MCREYNOLDS S
,53.85%,38.46%,3.85%,3.85%,0.00%,,,,,,,
NVSC-205-502,6,6,1,0,0,13 3.385,0.0,0.0,0.0,0.0,0.0,13 BERTSCH G
,46.15%,46.15%,7.69%,0.00%,0.00%,,,,,,,
NVSC-205-503,24,19,2,0,1,46 3.413,0.0,0.0,0.0,0.0,0.0,46 HALTOM J
,52.17%,41.30%,4.35%,0.00%,2.17%,,,,,,,
NVSC-205-504,15,19,4,0,0,38 3.290,0.0,0.0,0.0,0.0,0.0,38 MCREYNOLDS S
,39.47%,50.00%,10.53%,0.00%,0.00%,,,,,,,
NVSC-205-505,2,16,2,0,0,20 3.000,0.0,0.0,0.0,0.0,0.0,20 BERTSCH G
,10.00%,80.00%,10.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,61,70,10,1,1,158 3.322,0.0,0.0,0.0,0.0,0.0,143
,42.66%,48.95%,6.99%,0.70%,0.70%,,,,,,,
NVSC-301-502,6,12,1,0,1,20 3.100,0.0,0.0,0.0,0.0,0.0,20 NOLEN M
,30.00%,60.00%,5.00%,0.00%,5.00%,,,,,,,
NVSC-301-503,9,8,0,0,0,17 3.529,0.0,0.0,0.0,0.0,0.0,17 LAMSON A
,52.94%,47.06%,0.00%,0.00%,0.00%,,,,,,,
NVSC-301-504,8,6,3,0,1,18 3.111,0.0,0.0,0.0,0.0,0.0,18 NOLEN M
,44.44%,33.33%,16.67%,0.00%,5.56%,,,,,,,
COURSE TOTAL:,23,26,4,0,2,55 3.236,0.0,0.0,0.0,0.0,0.0,55
,41.82%,47.27%,7.27%,0.00%,3.64%,,,,,,,
NVSC-303-500,8,9,0,0,0,17 3.471,0.0,0.0,0.0,0.0,0.0,17 DOWNING C
,47.06%,52.94%,0.00%,0.00%,0.00%,,,,,,,
NVSC-303-501,0,0,0,0,0,0 0.000,0.0,0.0,0.0,0.0,30.0,30 DOWNING C
,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
NVSC-401-500,7,6,1,0,0,14 3.429,0.0,0.0,0.0,0.0,0.0,14 ELLIOTT Z
,50.00%,42.86%,7.14%,0.00%,0.00%,,,,,,,
NVSC-402-900,10,9,2,0,0,21 3.381,0.0,0.0,0.0,0.0,0.0,21 SMITH G
,47.62%,42.86%,9.52%,0.00%,0.00%,,,,,,,
NVSC-485-500,30,1,0,0,0,31 3.968,0.0,0.0,0.0,0.0,0.0,31 HALTOM J
,96.77%,3.23%,0.00%,0.00%,0.00%,,,,,,,
NVSC-485-501,30,3,0,0,0,33 3.909,0.0,0.0,0.0,1.0,0.0,34 GLENN S
,90.91%,9.09%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,60,4,0,0,0,99 3.938,0.0,0.0,0.0,1.0,0.0,65
,93.75%,6.25%,0.00%,0.00%,0.00%,,,,,,,
DEPARTMENT TOTAL:,169,124,17,1,3,314 3.449,0.0,0.0,0.0,1.0,30.0,345
,53.82%,39.49%,5.41%,0.32%,0.96%,,,,,,,
COLLEGE TOTAL:,2239,509,115,17,37,2917 3.678,13.0,0.0,0.0,11.0,119.0,3060
SOMS-289-501,28,0,0 0,,0,28 4.000,0.0,0.0,0.0,1.0,0.0,29 GROVES A
,100.00%,0.00%,0.00%0.00%,,0.00%,,,,,,,
SOMS-289-502,21,1,0 0,,0,22 3.954,0.0,0.0,0.0,0.0,0.0,22 HAUFFE F
,95.45%,4.55%,0.00%0.00%,,0.00%,,,,,,,
SOMS-289-503,8,20,0 0,,0,28 3.286,0.0,0.0,0.0,0.0,0.0,28 HASSMAN D
,28.57%,71.43%,0.00%0.00%,,0.00%,,,,,,,
