0,1,2,3,4,5,6,7,8,9,10,11,12
BIMS-101-501,79,4,0,0,0,83 3.952,0.0,0.0,0.0,0.0,0.0,83 FUNKHOUSER N
,95.18%,4.82%,0.00%,0.00%,0.00%,,,,,,,
BIMS-101-502,41,2,2,0,0,45 3.867,0.0,0.0,0.0,0.0,0.0,45 FUNKHOUSER N
,91.11%,4.44%,4.44%,0.00%,0.00%,,,,,,,
BIMS-101-503,36,2,0,0,0,38 3.947,0.0,0.0,0.0,0.0,0.0,38 HEAPS C
,94.74%,5.26%,0.00%,0.00%,0.00%,,,,,,,
BIMS-101-504,70,7,3,0,1,81 3.790,0.0,0.0,0.0,1.0,0.0,82 FUNKHOUSER N
,86.42%,8.64%,3.70%,0.00%,1.23%,,,,,,,
COURSE TOTAL:,226,15,5,0,1,247 3.883,0.0,0.0,0.0,1.0,0.0,248
,91.50%,6.07%,2.02%,0.00%,0.40%,,,,,,,
BIMS-320-200,10,4,0,0,0,14 3.714,0.0,0.0,0.0,0.0,0.0,14 SAMOLLOW P
,71.43%,28.57%,0.00%,0.00%,0.00%,,,,,,,
BIMS-320-501,40,29,11,2,0,82 3.305,0.0,0.0,0.0,0.0,0.0,82 COTHRAN E
,48.78%,35.37%,13.41%,2.44%,0.00%,,,,,,,
BIMS-320-502,6,22,4,1,0,33 3.000,1.0,0.0,0.0,1.0,0.0,35 DERR J
,18.18%,66.67%,12.12%,3.03%,0.00%,,,,,,,
COURSE TOTAL:,56,55,15,3,0,129 3.271,1.0,0.0,0.0,1.0,0.0,131
,43.41%,42.64%,11.63%,2.33%,0.00%,,,,,,,
BIMS-481-911,0,0,0,0,0,0 0.000,0.0,25.0,0.0,0.0,0.0,25 CURLEY K
,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
BIMS-481-912,0,0,0,0,0,0 0.000,0.0,23.0,0.0,0.0,0.0,23 CURLEY K
,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
BIMS-481-913,0,0,0,0,0,0 0.000,0.0,24.0,0.0,0.0,0.0,24 CURLEY K
,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
BIMS-481-915,0,0,0,0,0,0 0.000,0.0,23.0,1.0,0.0,0.0,24 CURLEY K
,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
BIMS-481-916,0,0,0,0,0,0 0.000,0.0,25.0,0.0,0.0,0.0,25 CURLEY K
,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
BIMS-481-921,0,0,0,0,0,0 0.000,0.0,24.0,0.0,0.0,0.0,24 CHENAULT E
,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
BIMS-481-922,0,0,0,0,0,0 0.000,0.0,13.0,0.0,0.0,0.0,13 GASTEL B
,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
BIMS-481-923,0,0,0,0,0,0 0.000,0.0,22.0,0.0,0.0,0.0,22 CHENAULT E
,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
BIMS-481-924,0,0,0,0,0,0 0.000,0.0,8.0,0.0,0.0,0.0,8 CHENAULT E
,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
BIMS-481-925,0,0,0,0,0,0 0.000,0.0,13.0,0.0,0.0,0.0,13 CHENAULT E
,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
BIMS-481-926,0,0,0,0,0,0 0.000,0.0,19.0,0.0,0.0,0.0,19 CHENAULT E
,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,0,0,0,0,0 0.000,0.0,242.0,1.0,0.0,0.0,243
,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
BIMS-484-501,0,0,0,0,0,0 0.000,0.0,63.0,0.0,0.0,0.0,63 HUEBNER H
,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
BIMS-485-543,8,0,0,0,0,8 4.000,0.0,0.0,0.0,1.0,0.0,9 CROUCH E
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
BIMS-491-900,1,0,0,0,0,1 4.000,0.0,0.0,0.0,0.0,0.0,1 DATTA S
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
VLCS-953-301,61,0,0,0,0,61 4.000,0.0,0.0,0.0,0.0,0.0,61 EASTERWOOD L
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
DEPARTMENT TOTAL:,322,69,25,0,0,416 3.714,0.0,4.0,0.0,0.0,4.0,424
,77.40%,16.59%,6.01%,0.00%,0.00%,,,,,,,
VTPP-323-500,18,18,16 2,,0,54 2.963,0.0,0.0,0.0,2.0,0.0,56 BLUE MCLENDON A
,33.33%,33.33%,29.63%3.70%,,0.00%,,,,,,,
VTPP-401-550,11,0,0 0,,0,11 4.000,0.0,0.0,0.0,0.0,0.0,11 WASSER J
,100.00%,0.00%,0.00%0.00%,,0.00%,,,,,,,
VTPP-423-501,11,12,22 7,,2,54 2.426,0.0,0.0,0.0,3.0,0.0,57 HUNTER J
,20.37%,22.22%,40.74%  12.96%,,3.70%,,,,,,,
