0,1,2,3,4,5,6,7,8,9,10,11,12
ACCT-209-100,42,60,49 1,,0,152 2.941,0.0,0.0,0.0,1.0,0.0,153 STASNY M
,27.63%,39.47%,32.24%0.66%,,0.00%,,,,,,,
ACCT-209-200,23,30,22 4,,2,81 2.840,0.0,0.0,0.0,1.0,0.0,82 KNIGHT S
,28.40%,37.04%,27.16%4.94%,,2.47%,,,,,,,
COURSE TOTAL:,65,90,71 5,,2,233 2.906,0.0,0.0,0.0,2.0,0.0,235
,27.90%,38.63%,30.47%2.15%,,0.86%,,,,,,,
ACCT-210-200,13,33,16 1,,0,63 2.921,0.0,0.0,0.0,0.0,0.0,63 ALLEN N
,20.63%,52.38%,25.40%1.59%,,0.00%,,,,,,,
COURSE TOTAL:,13,33,16 1,,0,63 2.921,0.0,0.0,0.0,0.0,0.0,63
,20.63%,52.38%,25.40%1.59%,,0.00%,,,,,,,
ACCT-229-100,6,11,11 4,,0,32 2.594,0.0,0.0,0.0,4.0,0.0,36 CASSIDY N
,18.75%,34.38%,34.38%  12.50%,,0.00%,,,,,,,
ACCT-229-200,5,14,3 0,,0,22 3.091,0.0,0.0,0.0,0.0,0.0,22 DUZICH C
,22.73%,63.64%,13.64%0.00%,,0.00%,,,,,,,
COURSE TOTAL:,11,25,14 4,,0,54 2.796,0.0,0.0,0.0,4.0,0.0,58
,20.37%,46.30%,25.93%7.41%,,0.00%,,,,,,,
ACCT-230-200,25,26,16 6,,1,74 2.919,0.0,0.0,0.0,1.0,0.0,75 ALLEN N
,33.78%,35.14%,21.62%8.11%,,1.35%,,,,,,,
COURSE TOTAL:,25,26,16 6,,1,74 2.919,0.0,0.0,0.0,1.0,0.0,75
,33.78%,35.14%,21.62%8.11%,,1.35%,,,,,,,
ACCT-315-100,5,9,9 0,,0,23 2.826,0.0,0.0,0.0,1.0,0.0,24 KRATCHMAN S
,21.74%,39.13%,39.13%0.00%,,0.00%,,,,,,,
COURSE TOTAL:,5,9,9 0,,0,23 2.826,0.0,0.0,0.0,1.0,0.0,24
ACCT-316-200,20,10,4,0,0,34 3.471,0.0,0.0,0.0,0.0,0.0,34 DUZICH C
,58.82%,29.41%,11.76%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,20,10,4,0,0,34 3.471,0.0,0.0,0.0,0.0,0.0,34
,58.82%,29.41%,11.76%,0.00%,0.00%,,,,,,,
ACCT-320-901,19,9,1,0,0,29 3.621,0.0,0.0,0.0,0.0,0.0,29 FIECHTNER S
,65.52%,31.03%,3.45%,0.00%,0.00%,,,,,,,
ACCT-320-902,21,13,0,0,0,34 3.618,0.0,0.0,0.0,0.0,0.0,34 FIECHTNER S
,61.76%,38.24%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,40,22,1,0,0,63 3.619,0.0,0.0,0.0,0.0,0.0,63
,63.49%,34.92%,1.59%,0.00%,0.00%,,,,,,,
ACCT-321-100,24,0,0,0,0,24 4.000,0.0,0.0,0.0,0.0,0.0,24 SMITH A
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,24,0,0,0,0,24 4.000,0.0,0.0,0.0,0.0,0.0,24
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
ACCT-327-200,5,16,8,0,1,30 2.800,0.0,0.0,0.0,1.0,0.0,31 KNIGHT S
,16.67%,53.33%,26.67%,0.00%,3.33%,,,,,,,
COURSE TOTAL:,5,16,8,0,1,30 2.800,0.0,0.0,0.0,1.0,0.0,31
,16.67%,53.33%,26.67%,0.00%,3.33%,,,,,,,
ACCT-328-201,20,10,5,0,0,35 3.429,0.0,0.0,0.0,1.0,0.0,36 GROSSMAN S
,57.14%,28.57%,14.29%,0.00%,0.00%,,,,,,,
ACCT-328-202,10,16,7,0,0,33 3.091,1.0,0.0,0.0,0.0,0.0,34 GROSSMAN S
,30.30%,48.48%,21.21%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,30,26,12,0,0,68 3.265,1.0,0.0,0.0,1.0,0.0,70
INFO-209-100,10,17,9,1,0,37 2.973,0.0,0.0,0.0,0.0,0.0,37 AMMONS P
,27.03%,45.95%,24.32%,2.70%,0.00%,,,,,,,
INFO-209-200,12,23,12,0,0,47 3.000,0.0,0.0,0.0,1.0,0.0,48 SEN R
,25.53%,48.94%,25.53%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,22,40,21,1,0,84 2.988,0.0,0.0,0.0,1.0,0.0,85
,26.19%,47.62%,25.00%,1.19%,0.00%,,,,,,,
INFO-210-101,6,15,2,0,0,23 3.174,0.0,0.0,0.0,0.0,0.0,23 NORTON J
,26.09%,65.22%,8.70%,0.00%,0.00%,,,,,,,
INFO-210-200,18,12,1,1,0,32 3.469,0.0,0.0,0.0,0.0,0.0,32 SMATT C
,56.25%,37.50%,3.13%,3.13%,0.00%,,,,,,,
COURSE TOTAL:,24,27,3,1,0,55 3.345,0.0,0.0,0.0,0.0,0.0,55
,43.64%,49.09%,5.45%,1.82%,0.00%,,,,,,,
INFO-250-100,4,6,2,0,0,12 3.167,0.0,0.0,0.0,1.0,0.0,13 WHITCOMB D
,33.33%,50.00%,16.67%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,4,6,2,0,0,12 3.167,0.0,0.0,0.0,1.0,0.0,13
,33.33%,50.00%,16.67%,0.00%,0.00%,,,,,,,
INFO-303-100,11,17,5,1,0,34 3.118,0.0,0.0,0.0,1.0,0.0,35 DARCEY L
,32.35%,50.00%,14.71%,2.94%,0.00%,,,,,,,
INFO-303-101,9,16,0,2,0,27 3.185,0.0,0.0,0.0,0.0,0.0,27 RANGAN S
,33.33%,59.26%,0.00%,7.41%,0.00%,,,,,,,
INFO-303-201,13,17,0,0,0,30 3.433,0.0,0.0,0.0,0.0,0.0,30 TANNER J
,43.33%,56.67%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,33,50,5,3,0,91 3.242,0.0,0.0,0.0,1.0,0.0,92
INFO-305-200,20,13,1,0,0,34 3.559,0.0,1.0,0.0,0.0,0.0,35 TANNER J
,58.82%,38.24%,2.94%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,20,13,1,0,0,34 3.559,0.0,1.0,0.0,0.0,0.0,35
,58.82%,38.24%,2.94%,0.00%,0.00%,,,,,,,
INFO-306-100,3,12,1,0,0,16 3.125,0.0,0.0,0.0,0.0,0.0,16 WHITTEN G
,18.75%,75.00%,6.25%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,3,12,1,0,0,16 3.125,0.0,0.0,0.0,0.0,0.0,16
,18.75%,75.00%,6.25%,0.00%,0.00%,,,,,,,
INFO-330-200,0,6,0,0,0,6 3.000,0.0,0.0,0.0,0.0,0.0,6 SEN A
,0.00%,100.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,6,0,0,0,6 3.000,0.0,0.0,0.0,0.0,0.0,6
,0.00%,100.00%,0.00%,0.00%,0.00%,,,,,,,
INFO-340-200,9,7,1,1,0,18 3.333,0.0,0.0,0.0,0.0,0.0,18 PAPPU M
,50.00%,38.89%,5.56%,5.56%,0.00%,,,,,,,
COURSE TOTAL:,9,7,1,1,0,18 3.333,0.0,0.0,0.0,0.0,0.0,18
,50.00%,38.89%,5.56%,5.56%,0.00%,,,,,,,
INFO-364-100,14,29,11,1,0,55 3.018,0.0,0.0,0.0,0.0,0.0,55 RANGAN S
,25.45%,52.73%,20.00%,1.82%,0.00%,,,,,,,
INFO-364-200,13,15,10,0,0,38 3.079,1.0,0.0,0.0,0.0,0.0,39 ARREOLA-RISA A
,34.21%,39.47%,26.32%,0.00%,0.00%,,,,,,,
INFO-364-201,12,9,7,0,0,28 3.179,0.0,0.0,0.0,1.0,0.0,29 ARREOLA-RISA A
,42.86%,32.14%,25.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,39,53,28,1,0,121 3.074,1.0,0.0,0.0,1.0,0.0,123
INFO-601-200,11,4,0,0,0,15 3.733,0.0,0.0,0.0,0.0,0.0,15 PHINNEY T
,73.33%,26.67%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,11,4,0,0,0,15 3.733,0.0,0.0,0.0,0.0,0.0,15
,73.33%,26.67%,0.00%,0.00%,0.00%,,,,,,,
INFO-621-100,22,3,0,0,0,25 3.880,0.0,0.0,0.0,0.0,0.0,25 WHITTEN G
,88.00%,12.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,22,3,0,0,0,25 3.880,0.0,0.0,0.0,0.0,0.0,25
,88.00%,12.00%,0.00%,0.00%,0.00%,,,,,,,
INFO-629-200,5,5,0,0,0,10 3.500,0.0,0.0,0.0,0.0,0.0,10 SEN A
,50.00%,50.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,5,5,0,0,0,10 3.500,0.0,0.0,0.0,0.0,0.0,10
,50.00%,50.00%,0.00%,0.00%,0.00%,,,,,,,
INFO-634-100,6,2,0,0,0,8 3.750,0.0,0.0,0.0,0.0,0.0,8 WHITTEN G
,75.00%,25.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,6,2,0,0,0,8 3.750,0.0,0.0,0.0,0.0,0.0,8
,75.00%,25.00%,0.00%,0.00%,0.00%,,,,,,,
MGMT-209-100,15,42,42 7,,4,110 2.518,0.0,0.0,0.0,0.0,0.0,110 SWIM K
,13.64%,38.18%,38.18%6.36%,,3.64%,,,,,,,
MGMT-209-200,25,71,46 18,,9,169 2.503,0.0,0.0,0.0,9.0,0.0,178 HAILEY C
,14.79%,42.01%,27.22%  10.65%,,5.33%,,,,,,,
COURSE TOTAL:,40,113,88 25,,13,279 2.509,0.0,0.0,0.0,9.0,0.0,288
,14.34%,40.50%,31.54%8.96%,,4.66%,,,,,,,
MGMT-211-100,5,23,11 2,,1,42 2.690,0.0,0.0,0.0,1.0,0.0,43 SWIM K
,11.90%,54.76%,26.19%4.76%,,2.38%,,,,,,,
COURSE TOTAL:,5,23,11 2,,1,42 2.690,0.0,0.0,0.0,1.0,0.0,43
,11.90%,54.76%,26.19%4.76%,,2.38%,,,,,,,
MGMT-212-200,11,6,5 4,,1,27 2.815,0.0,0.0,0.0,0.0,0.0,27 HAILEY C
,40.74%,22.22%,18.52%  14.81%,,3.70%,,,,,,,
COURSE TOTAL:,11,6,5 4,,1,27 2.815,0.0,0.0,0.0,0.0,0.0,27
,40.74%,22.22%,18.52%  14.81%,,3.70%,,,,,,,
MGMT-309-100,37,71,82 23,,4,217 2.525,0.0,0.0,0.0,2.0,0.0,219 SCHWALL L
,17.05%,32.72%,37.79%  10.60%,,1.84%,,,,,,,
MGMT-309-200,9,23,14 2,,0,48 2.812,1.0,0.0,0.0,1.0,0.0,50 ABELSON M
,18.75%,47.92%,29.17%4.17%,,0.00%,,,,,,,
COURSE TOTAL:,46,94,96 25,,4,265 2.577,1.0,0.0,0.0,3.0,0.0,269
,17.36%,35.47%,36.23%9.43%,,1.51%,,,,,,,
MGMT-363-100,11,44,16 3,,0,74 2.851,0.0,0.0,0.0,2.0,0.0,76 SCHWALL L
,14.86%,59.46%,21.62%4.05%,,0.00%,,,,,,,
COURSE TOTAL:,11,44,16 3,,0,74 2.851,0.0,0.0,0.0,2.0,0.0,76
MGMT-373-901,6,13,1,0,0,20 3.250,0.0,0.0,0.0,0.0,0.0,20 SWIDER B
,30.00%,65.00%,5.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,6,13,1,0,0,20 3.250,0.0,0.0,0.0,0.0,0.0,20
,30.00%,65.00%,5.00%,0.00%,0.00%,,,,,,,
MGMT-439-200,16,6,0,0,0,22 3.727,0.0,0.0,0.0,0.0,0.0,22 WESNER B
,72.73%,27.27%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,16,6,0,0,0,22 3.727,0.0,0.0,0.0,0.0,0.0,22
,72.73%,27.27%,0.00%,0.00%,0.00%,,,,,,,
MGMT-450-151,21,7,0,0,0,28 3.750,0.0,0.0,0.0,0.0,0.0,28 PANINA D
,75.00%,25.00%,0.00%,0.00%,0.00%,,,,,,,
MGMT-450-152,16,4,0,0,0,20 3.800,0.0,0.0,0.0,0.0,0.0,20 FLINT G
,80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,
MGMT-450-200,14,9,4,0,0,27 3.370,0.0,0.0,0.0,0.0,0.0,27 PANINA D
,51.85%,33.33%,14.81%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,51,20,4,0,0,75 3.627,0.0,0.0,0.0,0.0,0.0,75
,68.00%,26.67%,5.33%,0.00%,0.00%,,,,,,,
MGMT-452-200,8,1,3,0,0,12 3.417,0.0,0.0,0.0,0.0,0.0,12 PANINA D
,66.67%,8.33%,25.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,8,1,3,0,0,12 3.417,0.0,0.0,0.0,0.0,0.0,12
,66.67%,8.33%,25.00%,0.00%,0.00%,,,,,,,
MGMT-461-100,7,15,0,0,0,22 3.318,0.0,0.0,0.0,0.0,0.0,22 LEWIS D
,31.82%,68.18%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,7,15,0,0,0,22 3.318,0.0,0.0,0.0,0.0,0.0,22
MGMT-466-101,18,0,1,0,0,19 3.895,0.0,0.0,0.0,0.0,0.0,19 WESLEY C
,94.74%,0.00%,5.26%,0.00%,0.00%,,,,,,,
MGMT-466-102,9,3,0,0,0,12 3.750,0.0,0.0,0.0,0.0,0.0,12 WESLEY C
,75.00%,25.00%,0.00%,0.00%,0.00%,,,,,,,
MGMT-466-103,8,10,2,0,0,20 3.300,0.0,0.0,0.0,0.0,0.0,20 CAMPBELL J
,40.00%,50.00%,10.00%,0.00%,0.00%,,,,,,,
MGMT-466-201,5,18,0,0,0,23 3.217,0.0,0.0,0.0,0.0,0.0,23 FLINT G
,21.74%,78.26%,0.00%,0.00%,0.00%,,,,,,,
MGMT-466-202,8,15,3,1,0,27 3.111,0.0,0.0,0.0,0.0,0.0,27 SHETTY B
,29.63%,55.56%,11.11%,3.70%,0.00%,,,,,,,
COURSE TOTAL:,48,46,6,1,0,101 3.396,0.0,0.0,0.0,0.0,0.0,101
,47.52%,45.54%,5.94%,0.99%,0.00%,,,,,,,
MGMT-470-100,9,17,0,0,0,26 3.346,0.0,0.0,0.0,0.0,0.0,26 LEWIS D
,34.62%,65.38%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,9,17,0,0,0,26 3.346,0.0,0.0,0.0,0.0,0.0,26
,34.62%,65.38%,0.00%,0.00%,0.00%,,,,,,,
MGMT-484-352,6,0,0,0,0,6 4.000,0.0,0.0,0.0,0.0,0.0,6 LESTER R
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,6,0,0,0,0,6 4.000,0.0,0.0,0.0,0.0,0.0,6
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
