0,1,2,3,4,5,6,7,8,9,10,11,12
EDAD-605-100,10,0,0,0,0,10 4.000,0.0,0.0,0.0,0.0,0.0,10 SKRLA L
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,10,0,0,0,0,10 4.000,0.0,0.0,0.0,0.0,0.0,10
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
EDAD-615-100,15,0,0,0,0,15 4.000,0.0,0.0,0.0,0.0,0.0,15 COLLIER V
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,15,0,0,0,0,15 4.000,0.0,0.0,0.0,0.0,0.0,15
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
EDAD-618-300,11,0,0,0,0,11 4.000,0.0,0.0,0.0,1.0,0.0,12 WEBB-JOHNSON G
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,11,0,0,0,0,11 4.000,0.0,0.0,0.0,1.0,0.0,12
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
EDAD-620-200,13,0,0,0,0,13 4.000,0.0,0.0,0.0,0.0,0.0,13 SCHEURICH J
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,13,0,0,0,0,13 4.000,0.0,0.0,0.0,0.0,0.0,13
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
EDAD-623-100,3,2,0,0,0,5 3.600,0.0,0.0,0.0,0.0,0.0,5 SKRLA L
,60.00%,40.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,3,2,0,0,0,5 3.600,0.0,0.0,0.0,0.0,0.0,5
,60.00%,40.00%,0.00%,0.00%,0.00%,,,,,,,
EDAD-669-100,5,2,0,0,0,7 3.714,0.0,0.0,0.0,0.0,0.0,7 PECK-PARROTT K
,71.43%,28.57%,0.00%,0.00%,0.00%,,,,,,,
EDAD-689-102,6,0,0,0,0,6 4.000,0.0,0.0,0.0,0.0,0.0,6 PARROTT D
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,6,0,0,0,0,6 4.000,0.0,0.0,0.0,0.0,0.0,6
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
EHRD-372-100,41,1,1,1,0,44 3.864,0.0,0.0,0.0,0.0,0.0,44 MUYIA M
,93.18%,2.27%,2.27%,2.27%,0.00%,,,,,,,
