0,1,2,3,4,5,6,7,8,9,10,11,12
INTA-603-700,3,4,0,0,0,7 3.429,1.0,0.0,0.0,0.0,0.0,8 FEIL S
,42.86%,57.14%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,3,4,0,0,0,7 3.429,1.0,0.0,0.0,0.0,0.0,8
,42.86%,57.14%,0.00%,0.00%,0.00%,,,,,,,
INTA-639-700,6,1,0,0,0,7 3.857,2.0,0.0,0.0,0.0,0.0,9 MUNN J
,85.71%,14.29%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,6,1,0,0,0,7 3.857,2.0,0.0,0.0,0.0,0.0,9
,85.71%,14.29%,0.00%,0.00%,0.00%,,,,,,,
INTA-651-700,11,0,1,1,1,14 3.357,1.0,0.0,0.0,0.0,0.0,15 REYNOLDS K
,78.57%,0.00%,7.14%,7.14%,7.14%,,,,,,,
INTA-651-720,6,0,0,0,0,6 4.000,0.0,0.0,0.0,0.0,0.0,6 REYNOLDS K
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,17,0,1,1,1,20 3.550,1.0,0.0,0.0,0.0,0.0,21
,85.00%,0.00%,5.00%,5.00%,5.00%,,,,,,,
INTA-652-100,10,8,0,0,0,18 3.556,2.0,0.0,0.0,0.0,0.0,20 OLSON J
,55.56%,44.44%,0.00%,0.00%,0.00%,,,,,,,
INTA-652-700,8,2,0,0,0,10 3.800,1.0,0.0,0.0,0.0,0.0,11 KELLEY B
,80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,
INTA-652-720,6,0,0,0,0,6 4.000,1.0,0.0,0.0,0.0,0.0,7 KELLEY B
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,24,10,0,0,0,34 3.706,4.0,0.0,0.0,0.0,0.0,38
,70.59%,29.41%,0.00%,0.00%,0.00%,,,,,,,
INTA-654-700,7,0,0,0,0,7 4.000,1.0,0.0,0.0,0.0,0.0,8 FABER P
COURSE TOTAL:,7,0,0,0,0,7 4.000,1.0,0.0,0.0,0.0,0.0,8
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
INTA-656-700,8,5,0,0,1,14 3.357,0.0,0.0,0.0,1.0,0.0,15 ROLLINS J
,57.14%,35.71%,0.00%,0.00%,7.14%,,,,,,,
COURSE TOTAL:,8,5,0,0,1,14 3.357,0.0,0.0,0.0,1.0,0.0,15
,57.14%,35.71%,0.00%,0.00%,7.14%,,,,,,,
INTA-657-700,6,3,0,0,0,9 3.667,1.0,0.0,0.0,0.0,0.0,10 FOREST J
,66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,6,3,0,0,0,9 3.667,1.0,0.0,0.0,0.0,0.0,10
,66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,
INTA-689-101,5,8,0,0,0,13 3.385,0.0,0.0,0.0,0.0,0.0,13 CASTILLO J
,38.46%,61.54%,0.00%,0.00%,0.00%,,,,,,,
INTA-689-721,4,1,0,0,0,5 3.800,0.0,0.0,0.0,0.0,0.0,5 SMITH J
,80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,9,9,0,0,0,18 3.500,0.0,0.0,0.0,0.0,0.0,18
,50.00%,50.00%,0.00%,0.00%,0.00%,,,,,,,
PSAA-616-700,4,1,0,0,0,5 3.800,0.0,0.0,0.0,0.0,0.0,5 STROM S
,80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,4,1,0,0,0,5 3.800,0.0,0.0,0.0,0.0,0.0,5
,80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,
PSAA-636-700,11,5,0,0,0,16 3.688,1.0,0.0,0.0,0.0,0.0,17 ROBINSON S
,68.75%,31.25%,0.00%,0.00%,0.00%,,,,,,,
PSAA-642-700,1,4,0,01,,6 2.667,0.0,0.0,0.0,2.0,0.0,8 BEARFIELD D
,16.67%,66.67%,0.00%,0.00%  16.67%,,,,,,,,
COURSE TOTAL:,1,4,0,0 1,,6 2.667,0.0,0.0,0.0,2.0,0.0,8
,16.67%,66.67%,0.00%,0.00%  16.67%,,,,,,,,
PSAA-644-700,18,1,0,00,,19 3.947,0.0,0.0,0.0,0.0,0.0,19 LITTLE C
,94.74%,5.26%,0.00%,0.00%0.00%,,,,,,,,
COURSE TOTAL:,18,1,0,0 0,,19 3.947,0.0,0.0,0.0,0.0,0.0,19
,94.74%,5.26%,0.00%,0.00%   0.00%,,,,,,,,
DEPARTMENT TOTAL:,114,43,1,13,,162 3.630,11.0,0.0,0.0,3.0,0.0,176
,70.37%,26.54%,0.62%,0.62%1.85%,,,,,,,,
COLLEGE TOTAL:,114,43,1,1 3,,162 3.630,11.0,0.0,0.0,3.0,0.0,176
