0,1,2,3,4,5,6,7,8,9,10,11,12
ANTH-205-100,1,29,46 14,,1,91 2.165,0.0,0.0,0.0,0.0,0.0,91 GURSKY-DOYEN S
,1.10%,31.87%,50.55%  15.38%,,1.10%,,,,,,,
ANTH-205-399,12,19,14 5,,2,52 2.654,0.0,0.0,0.0,3.0,0.0,55 ALVARD M
,23.08%,36.54%,26.92%9.62%,,3.85%,,,,,,,
COURSE TOTAL:,13,48,60 19,,3,143 2.343,0.0,0.0,0.0,3.0,0.0,146
,9.09%,33.57%,41.96%  13.29%,,2.10%,,,,,,,
ANTH-300-100,10,7,11 3,,2,33 2.606,1.0,0.0,0.0,0.0,0.0,34 DANNHAEUSER N
,30.30%,21.21%,33.33%9.09%,,6.06%,,,,,,,
COURSE TOTAL:,10,7,11 3,,2,33 2.606,1.0,0.0,0.0,0.0,0.0,34
,30.30%,21.21%,33.33%9.09%,,6.06%,,,,,,,
DEPARTMENT TOTAL:,23,55,71 22,,5,176 2.392,1.0,0.0,0.0,3.0,0.0,180
ARAB-101-100,6,5,1 0,0,,12 3.417,1.0,0.0,0.0,0.0,0.0,13 ABUNAWAS M
,50.00%,41.67%,8.33%0.00%,0.00%,,,,,,,,
COURSE TOTAL:,6,5,1 0,0,,12 3.417,1.0,0.0,0.0,0.0,0.0,13
,50.00%,41.67%,8.33%0.00%,0.00%,,,,,,,,
ARAB-102-200,5,2,2 1,0,,10 3.100,0.0,0.0,0.0,0.0,0.0,10 ABUNAWAS M
,50.00%,20.00%,20.00%  10.00%,0.00%,,,,,,,,
COURSE TOTAL:,5,2,2 1,0,,10 3.100,0.0,0.0,0.0,0.0,0.0,10
,50.00%,20.00%,20.00%  10.00%,0.00%,,,,,,,,
ARAB-221-150,12,2,0 0,0,,14 3.857,0.0,0.0,0.0,0.0,0.0,14 AYARI S
,85.71%,14.29%,0.00%0.00%,0.00%,,,,,,,,
COURSE TOTAL:,12,2,0 0,0,,14 3.857,0.0,0.0,0.0,0.0,0.0,14
,85.71%,14.29%,0.00%0.00%,0.00%,,,,,,,,
ARAB-289-150,3,5,1 0,0,,9 3.222,0.0,0.0,0.0,0.0,0.0,9 AYARI S
,33.33%,55.56%,11.11%0.00%,0.00%,,,,,,,,
COURSE TOTAL:,3,5,1 0,0,,9 3.222,0.0,0.0,0.0,0.0,0.0,9
,33.33%,55.56%,11.11%0.00%,0.00%,,,,,,,,
