0,1,2,3,4,5,6,7,8,9,10,11,12
BIOL-111-101,2,8,8 3,3,,24 2.125,0.0,0.0,0.0,0.0,0.0,24 COHN W
,8.33%,33.33%,33.33%  12.50%  12.50%,,,,,,,,,
BIOL-111-102,2,6,6 5,2,,21 2.048,0.0,0.0,0.0,0.0,0.0,21 COHN W
,9.52%,28.57%,28.57%  23.81%,9.52%,,,,,,,,
BIOL-111-103,4,8,4 3,0,,19 2.684,0.0,0.0,0.0,0.0,0.0,19 COHN W
,21.05%,42.11%,21.05%  15.79%,0.00%,,,,,,,,
BIOL-111-104,3,7,5 5,3,,23 2.087,0.0,0.0,0.0,0.0,0.0,23 COHN W
,13.04%,30.43%,21.74%  21.74%  13.04%,,,,,,,,,
COURSE TOTAL:,11,29,23 16,8,,87 2.218,0.0,0.0,0.0,0.0,0.0,87
,12.64%,33.33%,26.44%  18.39%,9.20%,,,,,,,,
BIOL-112-201,3,6,9 3,0,,21 2.429,0.0,0.0,0.0,0.0,0.0,21 AUFDERHEIDE K
,14.29%,28.57%,42.86%  14.29%,0.00%,,,,,,,,
BIOL-112-202,2,9,7 1,0,,19 2.632,0.0,0.0,0.0,0.0,0.0,19 AUFDERHEIDE K
,10.53%,47.37%,36.84%5.26%,0.00%,,,,,,,,
BIOL-112-203,2,6,8 3,0,,19 2.368,0.0,0.0,0.0,1.0,0.0,20 AUFDERHEIDE K
,10.53%,31.58%,42.11%  15.79%,0.00%,,,,,,,,
BIOL-112-204,2,6,9 3,1,,21 2.238,0.0,0.0,0.0,0.0,0.0,21 AUFDERHEIDE K
,9.52%,28.57%,42.86%  14.29%,4.76%,,,,,,,,
BIOL-112-205,1,2,6 5,0,,14 1.929,0.0,0.0,0.0,0.0,0.0,14 AUFDERHEIDE K
,7.14%,14.29%,42.86%  35.71%,0.00%,,,,,,,,
COURSE TOTAL:,10,29,39 15,1,,94 2.340,0.0,0.0,0.0,1.0,0.0,95
,10.64%,30.85%,41.49%  15.96%,1.06%,,,,,,,,
BIOL-206-200,2,2,3 0,1,,8 2.500,0.0,0.0,0.0,0.0,0.0,8 WAN W
,25.00%,25.00%,37.50%0.00%  12.50%,,,,,,,,,
COURSE TOTAL:,6,6,4 0,1,,17 2.941,0.0,0.0,0.0,0.0,0.0,17
,35.29%,35.29%,23.53%0.00%,5.88%,,,,,,,,
BIOL-213-100,13,15,6 0,0,,34 3.206,0.0,0.0,0.0,0.0,0.0,34 MORGAN L
,38.24%,44.12%,17.65%0.00%,0.00%,,,,,,,,
COURSE TOTAL:,13,15,6 0,0,,34 3.206,0.0,0.0,0.0,0.0,0.0,34
,38.24%,44.12%,17.65%0.00%,0.00%,,,,,,,,
BIOL-214-200,2,6,5 4,2,,19 2.105,0.0,0.0,0.0,1.0,0.0,20 STIDHAM T
,10.53%,31.58%,26.32%  21.05%  10.53%,,,,,,,,,
COURSE TOTAL:,2,6,5 4,2,,19 2.105,0.0,0.0,0.0,1.0,0.0,20
,10.53%,31.58%,26.32%  21.05%,10.53%,,,,,,,,
BIOL-319-301,4,10,9 0,0,,23 2.783,0.0,0.0,0.0,1.0,0.0,24 MACKENZIE D
,17.39%,43.48%,39.13%0.00%,0.00%,,,,,,,,
BIOL-319-302,4,9,8 2,0,,23 2.652,0.0,0.0,0.0,0.0,0.0,23 MACKENZIE D
,17.39%,39.13%,34.78%8.70%,0.00%,,,,,,,,
BIOL-319-303,4,7,9 0,0,,20 2.750,0.0,0.0,0.0,0.0,0.0,20 MACKENZIE D
,20.00%,35.00%,45.00%0.00%,0.00%,,,,,,,,
BIOL-319-304,3,7,5 1,1,,17 2.588,0.0,0.0,0.0,2.0,0.0,19 MACKENZIE D
,17.65%,41.18%,29.41%5.88%,5.88%,,,,,,,,
BIOL-319-305,5,8,7 1,2,,23 2.565,0.0,0.0,0.0,0.0,0.0,23 MACKENZIE D
,21.74%,34.78%,30.43%4.35%,8.70%,,,,,,,,
BIOL-319-306,2,9,8 0,1,,20 2.550,0.0,0.0,0.0,0.0,0.0,20 MACKENZIE D
,10.00%,45.00%,40.00%0.00%,5.00%,,,,,,,,
BIOL-319-307,1,4,6 0,0,,11 2.546,0.0,0.0,0.0,0.0,0.0,11 MACKENZIE D
,9.09%,36.36%,54.55%0.00%,0.00%,,,,,,,,
MATH-308-302,4,12,17 10,1,,44 2.182,0.0,0.0,0.0,3.0,0.0,47 ABUSHAMMALA W
,9.09%,27.27%,38.64%  22.73%,2.27%,,,,,,,,
COURSE TOTAL:,35,47,57 25,2,,166 2.530,0.0,1.0,0.0,8.0,0.0,175
,21.08%,28.31%,34.34%  15.06%,1.20%,,,,,,,,
MATH-311-101,3,7,11 2,3,,26 2.192,0.0,0.0,0.0,1.0,0.0,27 KIFFE T
,11.54%,26.92%,42.31%7.69%  11.54%,,,,,,,,,
MATH-311-102,4,3,8 0,4,,19 2.158,0.0,0.0,0.0,0.0,0.0,19 DARIPA P
,21.05%,15.79%,42.11%0.00%  21.05%,,,,,,,,,
COURSE TOTAL:,7,10,19 2,7,,45 2.178,0.0,0.0,0.0,1.0,0.0,46
,15.56%,22.22%,42.22%4.44%,15.56%,,,,,,,,
MATH-366-100,6,1,2 0,0,,9 3.444,0.0,0.0,0.0,0.0,0.0,9 SCHIELACK V
,66.67%,11.11%,22.22%0.00%,0.00%,,,,,,,,
MATH-366-200,3,8,1 0,0,,12 3.167,0.0,0.0,0.0,0.0,0.0,12 KIFFE T
,25.00%,66.67%,8.33%0.00%,0.00%,,,,,,,,
COURSE TOTAL:,9,9,3 0,0,,21 3.286,0.0,0.0,0.0,0.0,0.0,21
,42.86%,42.86%,14.29%0.00%,0.00%,,,,,,,,
MATH-367-100,5,6,5 1,0,,17 2.882,0.0,0.0,0.0,1.0,0.0,18 GUSTAFSON R
,29.41%,35.29%,29.41%5.88%,0.00%,,,,,,,,
COURSE TOTAL:,5,6,5 1,0,,17 2.882,0.0,0.0,0.0,1.0,0.0,18
,29.41%,35.29%,29.41%5.88%,0.00%,,,,,,,,
MATH-409-340,4,0,2 0,0,,6 3.333,0.0,0.0,0.0,1.0,0.0,7 LOWE B
,66.67%,0.00%,33.33%0.00%,0.00%,,,,,,,,
MATH-409-700,1,1,4 0,0,,6 2.500,0.0,0.0,0.0,1.0,0.0,7 LOWE B
COURSE TOTAL:,5,1,6,0 0,,12 2.917,0.0,0.0,0.0,2.0,0.0,14
,41.67%,8.33%,50.00%,0.00%   0.00%,,,,,,,,
MATH-411-100,11,10,6,21,,30 2.933,0.0,0.0,0.0,1.0,0.0,31 NEKRASHEVYCH V
,36.67%,33.33%,20.00%,6.67%3.33%,,,,,,,,
COURSE TOTAL:,11,10,6,2 1,,30 2.933,0.0,0.0,0.0,1.0,0.0,31
,36.67%,33.33%,20.00%,6.67%   3.33%,,,,,,,,
MATH-412-200,8,6,3,13,,21 2.714,0.0,0.0,0.0,1.0,0.0,22 LINHART J
,38.10%,28.57%,14.29%,4.76%  14.29%,,,,,,,,
COURSE TOTAL:,8,6,3,1 3,,21 2.714,0.0,0.0,0.0,1.0,0.0,22
