0,1,2,3,4,5,6,7,8,9,10,11,12
ATMO-201-501,28,14,11,20,,55 3.236,0.0,0.0,0.0,0.0,0.0,55 ORVILLE R
,50.91%,25.45%,20.00%,3.64%0.00%,,,,,,,,
ATMO-201-502,47,47,12,43,,113 3.159,1.0,0.0,0.0,0.0,0.0,114 NIELSEN-GAMMON J
,41.59%,41.59%,10.62%,3.54%2.65%,,,,,,,,
ATMO-201-503,19,19,8,30,,49 3.102,0.0,0.0,0.0,0.0,0.0,49 LEMMON M
,38.78%,38.78%,16.33%,6.12%0.00%,,,,,,,,
ATMO-201-504,25,17,11,50,,58 3.069,0.0,0.0,0.0,2.0,0.0,60 NIELSEN-GAMMON J
,43.10%,29.31%,18.97%,8.62%0.00%,,,,,,,,
COURSE TOTAL:,119,97,42,14 3,,275 3.145,1.0,0.0,0.0,2.0,0.0,278
,43.27%,35.27%,15.27%,5.09%   1.09%,,,,,,,,
ATMO-202-501,12,7,4,01,,24 3.208,0.0,0.0,0.0,1.0,0.0,25 LEVY M
,50.00%,29.17%,16.67%,0.00%4.17%,,,,,,,,
ATMO-202-502,6,7,6,21,,22 2.682,0.0,0.0,0.0,4.0,0.0,26 ACKERMAN M
,27.27%,31.82%,27.27%,9.09%4.55%,,,,,,,,
ATMO-202-503,12,5,1,10,,19 3.474,0.0,0.0,0.0,1.0,0.0,20 GRAMANN J
,63.16%,26.32%,5.26%,5.26%0.00%,,,,,,,,
ATMO-202-504,5,4,1,11,,12 2.917,0.0,0.0,0.0,0.0,0.0,12 GRAMANN J
,41.67%,33.33%,8.33%,8.33%8.33%,,,,,,,,
ATMO-202-505,1,10,5,01,,17 2.588,0.0,0.0,0.0,5.0,0.0,22 ACKERMAN M
,5.88%,58.82%,29.41%,0.00%5.88%,,,,,,,,
ATMO-202-506,3,10,5,14,,23 2.304,0.0,0.0,0.0,2.0,0.0,25 ACKERMAN M
,13.04%,43.48%,21.74%,4.35%  17.39%,,,,,,,,
ATMO-202-507,16,5,2,03,,26 3.192,0.0,0.0,0.0,1.0,0.0,27 GRAMANN J
,61.54%,19.23%,7.69%,0.00%  11.54%,,,,,,,,
COURSE TOTAL:,60,51,25 5,,13,154 2.909,0.0,0.0,0.0,15.0,0.0,169
,38.96%,33.12%,16.23%3.25%,,8.44%,,,,,,,
ATMO-203-502,6,9,5 1,,0,21 2.952,0.0,0.0,0.0,0.0,0.0,21 CATHEY S
,28.57%,42.86%,23.81%4.76%,,0.00%,,,,,,,
ATMO-203-503,8,8,2 1,,0,19 3.210,0.0,0.0,0.0,0.0,0.0,19 CATHEY S
,42.11%,42.11%,10.53%5.26%,,0.00%,,,,,,,
COURSE TOTAL:,14,17,7 2,,0,40 3.075,0.0,0.0,0.0,0.0,0.0,40
,35.00%,42.50%,17.50%5.00%,,0.00%,,,,,,,
ATMO-251-501,7,7,3 0,,0,17 3.235,1.0,0.0,0.0,0.0,0.0,18 CONLEE D
,41.18%,41.18%,17.65%0.00%,,0.00%,,,,,,,
ATMO-251-502,9,10,3 1,,0,23 3.174,0.0,0.0,0.0,0.0,0.0,23 CONLEE D
,39.13%,43.48%,13.04%4.35%,,0.00%,,,,,,,
