0,1,2,3,4,5,6,7,8,9,10,11,12
ANTH-210-401,43,59,11 4,,3,120 3.125,0.0,0.0,0.0,1.0,0.0,121 MAACK P
,35.83%,49.17%,9.17%3.33%,,2.50%,,,,,,,
COURSE TOTAL:,43,59,11 4,,3,120 3.125,0.0,0.0,0.0,1.0,0.0,121
,35.83%,49.17%,9.17%3.33%,,2.50%,,,,,,,
ANTH-318-401,2,4,13 4,,0,23 2.174,0.0,0.0,0.0,1.0,0.0,24 OERTLING T
,8.70%,17.39%,56.52%  17.39%,,0.00%,,,,,,,
COURSE TOTAL:,2,4,13 4,,0,23 2.174,0.0,0.0,0.0,1.0,0.0,24
,8.70%,17.39%,56.52%  17.39%,,0.00%,,,,,,,
ANTH-350-401,13,9,7 1,,0,30 3.133,0.0,0.0,0.0,0.0,0.0,30 PEARL F
,43.33%,30.00%,23.33%3.33%,,0.00%,,,,,,,
COURSE TOTAL:,13,9,7 1,,0,30 3.133,0.0,0.0,0.0,0.0,0.0,30
,43.33%,30.00%,23.33%3.33%,,0.00%,,,,,,,
CAEN-101-401,8,1,1 0,,0,10 3.700,0.0,0.0,0.0,0.0,0.0,10 HOLUB M
,80.00%,10.00%,10.00%0.00%,,0.00%,,,,,,,
COURSE TOTAL:,8,1,1 0,,0,10 3.700,0.0,0.0,0.0,0.0,0.0,10
,80.00%,10.00%,10.00%0.00%,,0.00%,,,,,,,
COMM-203-401,21,5,0 0,,0,26 3.808,0.0,0.0,0.0,0.0,0.0,26 LANG V
,80.77%,19.23%,0.00%0.00%,,0.00%,,,,,,,
COMM-203-402,22,5,0 0,,0,27 3.815,0.0,0.0,0.0,0.0,0.0,27 LANG V
,81.48%,18.52%,0.00%0.00%,,0.00%,,,,,,,
COURSE TOTAL:,43,10,0 0,,0,53 3.811,0.0,0.0,0.0,0.0,0.0,53
,81.13%,18.87%,0.00%0.00%,,0.00%,,,,,,,
ENGL-104-401,2,7,3 0,,5,17 2.059,0.0,0.0,0.0,0.0,0.0,17 THEIS W
ENGL-104-402,4,8,1 2,2,,17 2.588,0.0,0.0,0.0,2.0,0.0,19 FLEMING K
,23.53%,47.06%,5.88%  11.76%  11.76%,,,,,,,,,
ENGL-104-403,6,6,3 0,2,,17 2.824,0.0,0.0,0.0,0.0,0.0,17 THEIS W
,35.29%,35.29%,17.65%0.00%  11.76%,,,,,,,,,
ENGL-104-404,3,5,5 5,5,,23 1.826,0.0,0.0,0.0,0.0,0.0,23 SLABAUGH L
,13.04%,21.74%,21.74%  21.74%  21.74%,,,,,,,,,
COURSE TOTAL:,15,26,12 7,14,,74 2.284,0.0,0.0,0.0,2.0,0.0,76
,20.27%,35.14%,16.22%9.46%,18.92%,,,,,,,,
ENGL-203-401,8,5,7 3,0,,23 2.783,0.0,0.0,0.0,0.0,0.0,23 BOUDREAUX T
,34.78%,21.74%,30.43%  13.04%,0.00%,,,,,,,,
ENGL-203-402,13,7,1 0,2,,23 3.261,0.0,0.0,0.0,2.0,0.0,25 BOUDREAUX T
,56.52%,30.43%,4.35%0.00%,8.70%,,,,,,,,
ENGL-203-403,4,9,7 2,0,,22 2.682,0.0,0.0,0.0,0.0,0.0,22 FLEMING K
,18.18%,40.91%,31.82%9.09%,0.00%,,,,,,,,
ENGL-203-404,2,12,8 0,1,,23 2.609,2.0,0.0,0.0,0.0,0.0,25 TRABER D
,8.70%,52.17%,34.78%0.00%,4.35%,,,,,,,,
COURSE TOTAL:,27,33,23 5,3,,91 2.835,2.0,0.0,0.0,2.0,0.0,95
,29.67%,36.26%,25.27%5.49%,3.30%,,,,,,,,
ENGL-222-401,11,9,4 0,1,,25 3.160,0.0,0.0,0.0,0.0,0.0,25 BOUDREAUX T
,44.00%,36.00%,16.00%0.00%,4.00%,,,,,,,,
COURSE TOTAL:,11,9,4 0,1,,25 3.160,0.0,0.0,0.0,0.0,0.0,25
,44.00%,36.00%,16.00%0.00%,4.00%,,,,,,,,
ENGL-228-401,0,4,4 0,1,,9 2.222,0.0,0.0,0.0,2.0,0.0,11 TRABER D
,0.00%,44.44%,44.44%0.00%  11.11%,,,,,,,,,
COURSE TOTAL:,9,21,18 10,10,,68 2.132,0.0,0.0,0.0,1.0,0.0,69
,13.24%,30.88%,26.47%  14.71%,14.71%,,,,,,,,
MATH-152-401,7,7,9 2,9,,34 2.029,0.0,0.0,0.0,2.0,0.0,36 SZUCS J
,20.59%,20.59%,26.47%5.88%  26.47%,,,,,,,,,
MATH-152-402,1,22,12 2,2,,39 2.462,0.0,0.0,0.0,1.0,0.0,40 LUXEMBURG L
,2.56%,56.41%,30.77%5.13%,5.13%,,,,,,,,
MATH-152-403,16,14,7 0,0,,37 3.243,0.0,0.0,0.0,0.0,0.0,37 YI E
,43.24%,37.84%,18.92%0.00%,0.00%,,,,,,,,
