0,1,2,3,4,5,6,7,8,9,10,11,12
CHEN-205-500,3,7,4 0,2,,16 2.562,0.0,0.0,0.0,0.0,0.0,16 CASTIER M
,18.75%,43.75%,25.00%0.00%  12.50%,,,,,,,,,
COURSE TOTAL:,3,7,4 0,2,,16 2.563,0.0,0.0,0.0,0.0,0.0,16
,18.75%,43.75%,25.00%0.00%,12.50%,,,,,,,,
CHEN-313-500,12,4,5 3,0,,24 3.042,0.0,0.0,0.0,0.0,0.0,24 PALMER B
,50.00%,16.67%,20.83%  12.50%,0.00%,,,,,,,,
COURSE TOTAL:,12,4,5 3,0,,24 3.042,0.0,0.0,0.0,0.0,0.0,24
,50.00%,16.67%,20.83%  12.50%,0.00%,,,,,,,,
CHEN-323-500,9,9,6 0,0,,24 3.125,0.0,0.0,0.0,0.0,0.0,24 NOUNOU M
,37.50%,37.50%,25.00%0.00%,0.00%,,,,,,,,
COURSE TOTAL:,9,9,6 0,0,,24 3.125,0.0,0.0,0.0,0.0,0.0,24
,37.50%,37.50%,25.00%0.00%,0.00%,,,,,,,,
CHEN-426-500,5,5,2 0,0,,12 3.250,0.0,0.0,0.0,0.0,0.0,12 LINKE P
,41.67%,41.67%,16.67%0.00%,0.00%,,,,,,,,
COURSE TOTAL:,5,5,2 0,0,,12 3.250,0.0,0.0,0.0,0.0,0.0,12
,41.67%,41.67%,16.67%0.00%,0.00%,,,,,,,,
CHEN-433-500,4,6,1 0,0,,11 3.273,0.0,0.0,0.0,0.0,0.0,11 SALAMA G
,36.36%,54.55%,9.09%0.00%,0.00%,,,,,,,,
COURSE TOTAL:,4,6,1 0,0,,11 3.273,0.0,0.0,0.0,0.0,0.0,11
,36.36%,54.55%,9.09%0.00%,0.00%,,,,,,,,
CHEN-457-500,9,5,4,0,0,18 3.278,0.0,0.0,0.0,0.0,0.0,18 ABDEL-WAHAB A
,50.00%,27.78%,22.22%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,9,5,4,0,0,18 3.278,0.0,0.0,0.0,0.0,0.0,18
,50.00%,27.78%,22.22%,0.00%,0.00%,,,,,,,
DEPARTMENT TOTAL:,9,5,4,0,0,18 3.278,0.0,0.0,0.0,0.0,0.0,18
